"timestamp","container","database","duration_ms","query_type","is_cross_shard","query_preview"
"2025-10-05 21:38:56.650","neo4j-forums","forums","792","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:38:57.240","neo4j-forums","forums","13","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:38:58.254","neo4j-forums","forums","909","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:00.860","neo4j-forums","forums","213","Generic-Query","False","MATCH (`post`:`Post` {`id`: $`postId`})"
"2025-10-05 21:39:00.917","neo4j-forums","forums","21","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:02.471","neo4j-forums","forums","46","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:04.054","neo4j-forums","forums","1119","Unknown","False","WITH $`@@friendIds` AS `friendIds`"
"2025-10-05 21:39:04.558","neo4j-forums","forums","411","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:04.639","neo4j-forums","forums","25","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:04.932","neo4j-forums","forums","41","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:04.991","neo4j-forums","forums","10","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:05.029","neo4j-forums","forums","11","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:05.299","neo4j-forums","forums","8","Unknown","False","WITH $`@@friendIds` AS `friendIds`"
"2025-10-05 21:39:05.356","neo4j-forums","forums","11","Generic-Query","False","MATCH (`post`:`Post` {`id`: $`postId`})"
"2025-10-05 21:39:05.420","neo4j-forums","forums","15","Generic-Query","False","MATCH (`post`:`Post` {`id`: $`postId`})"
"2025-10-05 21:39:05.521","neo4j-forums","forums","14","Generic-Query","False","MATCH (`post`:`Post` {`id`: $`postId`})"
"2025-10-05 21:39:05.571","neo4j-forums","forums","18","Unknown","False","MERGE (`authorProxy`:`PersonID` {`id`: $`authorPersonId`})"
"2025-10-05 21:39:05.642","neo4j-forums","forums","7","Unknown","False","WITH $`@@friendIds` AS `friendIds`"
"2025-10-05 21:39:05.945","neo4j-forums","forums","200","Unknown","False","MERGE (`moderatorProxy`:`PersonID` {`id`: $`moderatorPersonId`})"
"2025-10-05 21:39:06.051","neo4j-forums","forums","23","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:06.134","neo4j-forums","forums","37","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:06.178","neo4j-forums","forums","8","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:06.246","neo4j-forums","forums","36","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:06.288","neo4j-forums","forums","13","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:06.326","neo4j-forums","forums","8","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
"2025-10-05 21:39:06.423","neo4j-forums","forums","70","Generic-Query","False","MATCH (`f`:`Forum` {`id`: $`forumId`})"
